;"Activity type","Duration","From","To","Comment"
"Me time","00:29","2019-11-19 14:44","2019-11-19 15:14",
"Work Orphic","01:49","2019-11-19 12:55","2019-11-19 14:44",
"Study","00:51","2019-11-19 12:04","2019-11-19 12:55",
"Social / family","01:08","2019-11-19 10:55","2019-11-19 12:04",
"Food","01:10","2019-11-19 09:45","2019-11-19 10:55",
"Productivity ","00:51","2019-11-19 08:54","2019-11-19 09:45",
"Work CBO","01:39","2019-11-19 07:14","2019-11-19 08:53",
"Routine","00:13","2019-11-19 07:01","2019-11-19 07:14",
"Sleep","06:23","2019-11-19 00:37","2019-11-19 07:01",
"Routine","00:38","2019-11-18 23:59","2019-11-19 00:37",
"Conscious entertainment ","01:51","2019-11-18 22:07","2019-11-18 23:59",
"Study","02:08","2019-11-18 19:59","2019-11-18 22:07",
"Social / family","00:18","2019-11-18 19:40","2019-11-18 19:59",
"Food","00:56","2019-11-18 18:44","2019-11-18 19:40",
"Transport","00:34","2019-11-18 18:09","2019-11-18 18:44",
"Productivity ","00:51","2019-11-18 17:17","2019-11-18 18:09",
"Study","01:39","2019-11-18 15:37","2019-11-18 17:17",
"Productivity ","00:09","2019-11-18 15:28","2019-11-18 15:37",
"Study","00:40","2019-11-18 14:48","2019-11-18 15:28",
"Productivity ","01:36","2019-11-18 13:12","2019-11-18 14:48",
"Transport","00:55","2019-11-18 12:16","2019-11-18 13:11",
"Routine","00:08","2019-11-18 12:07","2019-11-18 12:15",
"Sleep","11:01","2019-11-18 00:39","2019-11-18 11:40",
"Routine","00:53","2019-11-17 23:45","2019-11-18 00:39",
"Conscious entertainment ","01:07","2019-11-17 22:37","2019-11-17 23:45",
"Social / family","03:11","2019-11-17 19:26","2019-11-17 22:37",
"Productivity ","00:07","2019-11-17 19:18","2019-11-17 19:26",
"Study","00:17","2019-11-17 19:01","2019-11-17 19:18",
"Food","00:14","2019-11-17 18:47","2019-11-17 19:01",
"Conscious entertainment ","00:44","2019-11-17 18:02","2019-11-17 18:47",
"Study","01:02","2019-11-17 17:00","2019-11-17 18:02",
"Productivity ","01:40","2019-11-17 15:19","2019-11-17 16:59",
"Transport","02:28","2019-11-17 12:50","2019-11-17 15:19",
"Study","00:09","2019-11-17 12:40","2019-11-17 12:50",
"Productivity ","00:10","2019-11-17 12:40","2019-11-17 12:50",
"Food","00:26","2019-11-17 11:34","2019-11-17 12:00",
"Routine","00:24","2019-11-17 11:09","2019-11-17 11:34",
"Sleep","10:14","2019-11-17 00:55","2019-11-17 11:09",
"Study","00:29","2019-11-17 00:25","2019-11-17 00:55",
"Routine","00:13","2019-11-17 00:12","2019-11-17 00:25",
"Transport","00:56","2019-11-16 23:15","2019-11-17 00:11",
"Social / family","04:22","2019-11-16 18:52","2019-11-16 23:15",
"Productivity ","01:14","2019-11-16 17:37","2019-11-16 18:52",
"Me time","00:40","2019-11-16 16:57","2019-11-16 17:37",
"Study","02:06","2019-11-16 14:50","2019-11-16 16:57",
"Food","00:42","2019-11-16 14:08","2019-11-16 14:50",
"Routine","00:19","2019-11-16 13:49","2019-11-16 14:08",
"Sleep","11:41","2019-11-16 01:39","2019-11-16 13:20",
"Routine","00:21","2019-11-16 01:18","2019-11-16 01:39",
"Social / family","07:03","2019-11-15 18:14","2019-11-16 01:17",
"Productivity ","03:29","2019-11-15 14:44","2019-11-15 18:13",
"Transport","00:43","2019-11-15 14:00","2019-11-15 14:44",
"Me time","00:14","2019-11-15 13:46","2019-11-15 14:00",
"Productivity ","00:21","2019-11-15 13:25","2019-11-15 13:46",
"Food","00:31","2019-11-15 12:53","2019-11-15 13:25",
"Transport","00:28","2019-11-15 12:25","2019-11-15 12:53",
"Productivity ","00:10","2019-11-15 12:14","2019-11-15 12:25",
"Study","00:30","2019-11-15 11:44","2019-11-15 12:14",
"Routine","00:03","2019-11-15 11:41","2019-11-15 11:44",
"Sleep","10:56","2019-11-15 00:36","2019-11-15 11:32",
"Routine","00:16","2019-11-15 00:19","2019-11-15 00:36",
"Transport","00:33","2019-11-14 23:46","2019-11-15 00:19",
"Sport","01:49","2019-11-14 21:56","2019-11-14 23:46",
"Social / family","00:56","2019-11-14 21:00","2019-11-14 21:56",
"Study","00:00","2019-11-14 20:56","2019-11-14 20:56",
"Transport","00:28","2019-11-14 20:27","2019-11-14 20:56",
"Productivity ","00:28","2019-11-14 19:59","2019-11-14 20:27",
"Study","03:41","2019-11-14 16:18","2019-11-14 19:59",
"Transport","00:19","2019-11-14 15:55","2019-11-14 16:14",
"Conscious entertainment ","00:27","2019-11-14 15:27","2019-11-14 15:55",
"Study","00:24","2019-11-14 15:02","2019-11-14 15:27",
"Productivity ","00:07","2019-11-14 14:54","2019-11-14 15:02",
"Study","00:30","2019-11-14 14:23","2019-11-14 14:54",
"Productivity ","02:00","2019-11-14 12:30","2019-11-14 14:30",""
"Routine","00:30","2019-11-14 12:00","2019-11-14 12:30",""
"Sleep","10:00","2019-11-14 02:00","2019-11-14 12:00",""
"Default actions","01:20","2019-11-14 00:40","2019-11-14 02:00",""
"Conscious entertainment ","00:48","2019-11-13 23:51","2019-11-14 00:40",""
"Food","01:16","2019-11-13 22:34","2019-11-13 23:51",
"Transport","00:48","2019-11-13 21:46","2019-11-13 22:34",
"Class","01:21","2019-11-13 20:25","2019-11-13 21:46",
"Me time","00:18","2019-11-13 20:06","2019-11-13 20:25",
"Study","00:27","2019-11-13 19:38","2019-11-13 20:06",
"Me time","00:21","2019-11-13 19:17","2019-11-13 19:38",
"Study","00:06","2019-11-13 19:11","2019-11-13 19:17",
"Transport","00:24","2019-11-13 18:46","2019-11-13 19:11",
"Productivity ","01:13","2019-11-13 17:33","2019-11-13 18:46",
"Class","00:18","2019-11-13 17:14","2019-11-13 17:33",
"Work CBO","00:34","2019-11-13 16:40","2019-11-13 17:14",
"Class","00:22","2019-11-13 16:18","2019-11-13 16:40",
"Transport","00:16","2019-11-13 16:01","2019-11-13 16:18",
"Study","01:13","2019-11-13 14:47","2019-11-13 16:01",
"Food","00:14","2019-11-13 14:32","2019-11-13 14:47",
"Transport","00:21","2019-11-13 14:11","2019-11-13 14:32",
"Study","03:18","2019-11-13 10:53","2019-11-13 14:11",
"Class","00:37","2019-11-13 10:15","2019-11-13 10:53",
"Transport","00:43","2019-11-13 09:32","2019-11-13 10:15",
"Routine","00:13","2019-11-13 09:18","2019-11-13 09:32",
